Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-12 14:18:05,2018-01-12 14:26:58,8m - 53.665s,FAILED
,,,,,,
Test Cases/SignIn,,,2018-01-12 14:18:05,2018-01-12 14:20:05,2m - 0.584s,PASSED
startApplication,,,2018-01-12 14:18:05,2018-01-12 14:19:34,1m - 28.922s,PASSED
tap,,,2018-01-12 14:19:34,2018-01-12 14:19:41,7.083s,PASSED
setText,,,2018-01-12 14:19:41,2018-01-12 14:19:51,9.281s,PASSED
setText,,,2018-01-12 14:19:51,2018-01-12 14:20:03,12.109s,PASSED
tap,,,2018-01-12 14:20:03,2018-01-12 14:20:04,1.606s,PASSED
tap,,,2018-01-12 14:20:04,2018-01-12 14:20:05,1.113s,PASSED
,,,,,,
Test Cases/Accounts,,,2018-01-12 14:20:05,2018-01-12 14:22:05,1m - 59.448s,FAILED
startApplication,,,2018-01-12 14:20:06,2018-01-12 14:21:34,1m - 28.404s,PASSED
tap,,,2018-01-12 14:21:34,2018-01-12 14:22:05,30.842s,FAILED
,,,,,,
Test Cases/ActiveTrips,,,2018-01-12 14:22:05,2018-01-12 14:24:28,2m - 22.932s,FAILED
startApplication,,,2018-01-12 14:22:05,2018-01-12 14:23:55,1m - 50.039s,PASSED
tap,,,2018-01-12 14:23:55,2018-01-12 14:24:28,32.724s,FAILED
,,,,,,
Test Cases/TripRequest,,,2018-01-12 14:24:28,2018-01-12 14:26:50,2m - 22.203s,FAILED
startApplication,,,2018-01-12 14:24:28,2018-01-12 14:26:19,1m - 50.877s,PASSED
tap,,,2018-01-12 14:26:19,2018-01-12 14:26:50,31.173s,FAILED
