Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-16 10:59:33,2018-01-16 11:00:58,1m - 24.039s,FAILED
,,,,,,
Test Cases/For Test Suite/ProfileChange,,,2018-01-16 10:59:34,2018-01-16 10:59:40,5.756s,FAILED
delay,,,2018-01-16 10:59:34,2018-01-16 10:59:39,5.063s,PASSED
tap,,,2018-01-16 10:59:39,2018-01-16 10:59:40,0.196s,FAILED
,,,,,,
Test Cases/For Test Suite/TripRequest,,,2018-01-16 10:59:40,2018-01-16 10:59:40,0.272s,FAILED
setText,,,2018-01-16 10:59:40,2018-01-16 10:59:40,0.075s,FAILED
,,,,,,
Test Cases/For Test Suite/Trip History View,,,2018-01-16 10:59:40,2018-01-16 10:59:47,7.213s,FAILED
delay,,,2018-01-16 10:59:40,2018-01-16 10:59:47,7.003s,PASSED
tap,,,2018-01-16 10:59:47,2018-01-16 10:59:47,0.012s,FAILED
,,,,,,
Test Cases/For Test Suite/Trip History,,,2018-01-16 10:59:47,2018-01-16 10:59:54,7.174s,FAILED
delay,,,2018-01-16 10:59:47,2018-01-16 10:59:54,7.002s,PASSED
tap,,,2018-01-16 10:59:54,2018-01-16 10:59:54,0.009s,FAILED
,,,,,,
Test Cases/For Test Suite/Submit Rating,,,2018-01-16 10:59:54,2018-01-16 10:59:55,0.178s,FAILED
setText,,,2018-01-16 10:59:55,2018-01-16 10:59:55,0.009s,FAILED
,,,,,,
Test Cases/For Test Suite/Skip Rating,,,2018-01-16 10:59:55,2018-01-16 10:59:55,0.160s,FAILED
setText,,,2018-01-16 10:59:55,2018-01-16 10:59:55,0.006s,FAILED
,,,,,,
Test Cases/For Test Suite/PromotionAdd,,,2018-01-16 10:59:55,2018-01-16 10:59:55,0.186s,FAILED
tap,,,2018-01-16 10:59:55,2018-01-16 10:59:55,0.026s,FAILED
,,,,,,
Test Cases/For Test Suite/Profile,,,2018-01-16 10:59:55,2018-01-16 11:00:01,6.252s,FAILED
delay,,,2018-01-16 10:59:55,2018-01-16 11:00:01,6.002s,PASSED
tap,,,2018-01-16 11:00:01,2018-01-16 11:00:01,0.049s,FAILED
,,,,,,
Test Cases/For Test Suite/Terms and Conditions,,,2018-01-16 11:00:01,2018-01-16 11:00:08,6.164s,FAILED
delay,,,2018-01-16 11:00:02,2018-01-16 11:00:08,6.002s,PASSED
tap,,,2018-01-16 11:00:08,2018-01-16 11:00:08,0.008s,FAILED
,,,,,,
Test Cases/For Test Suite/Favourites,,,2018-01-16 11:00:08,2018-01-16 11:00:13,5.179s,FAILED
delay,,,2018-01-16 11:00:08,2018-01-16 11:00:13,5.004s,PASSED
tap,,,2018-01-16 11:00:13,2018-01-16 11:00:13,0.035s,FAILED
,,,,,,
Test Cases/For Test Suite/Cancell Trip Request,,,2018-01-16 11:00:13,2018-01-16 11:00:13,0.220s,FAILED
setText,,,2018-01-16 11:00:13,2018-01-16 11:00:13,0.082s,FAILED
,,,,,,
Test Cases/For Test Suite/Add Favourite Driver,,,2018-01-16 11:00:13,2018-01-16 11:00:13,0.141s,FAILED
setText,,,2018-01-16 11:00:13,2018-01-16 11:00:13,0.005s,FAILED
,,,,,,
Test Cases/For Test Suite/ActiveTrips,,,2018-01-16 11:00:13,2018-01-16 11:00:23,10.170s,FAILED
delay,,,2018-01-16 11:00:13,2018-01-16 11:00:23,10.002s,PASSED
tap,,,2018-01-16 11:00:23,2018-01-16 11:00:23,0.036s,FAILED
,,,,,,
Test Cases/For Test Suite/Accounts,,,2018-01-16 11:00:24,2018-01-16 11:00:31,7.177s,FAILED
delay,,,2018-01-16 11:00:24,2018-01-16 11:00:31,7.002s,PASSED
tap,,,2018-01-16 11:00:31,2018-01-16 11:00:31,0.046s,FAILED
,,,,,,
Test Cases/For Test Suite/Support,,,2018-01-16 11:00:31,2018-01-16 11:00:37,6.147s,FAILED
delay,,,2018-01-16 11:00:31,2018-01-16 11:00:37,6.002s,PASSED
tap,,,2018-01-16 11:00:37,2018-01-16 11:00:37,0.006s,FAILED
,,,,,,
Test Cases/For Test Suite/Accounts Edit,,,2018-01-16 11:00:37,2018-01-16 11:00:44,7.148s,FAILED
delay,,,2018-01-16 11:00:37,2018-01-16 11:00:44,7.002s,PASSED
tap,,,2018-01-16 11:00:44,2018-01-16 11:00:44,0.008s,FAILED
,,,,,,
Test Cases/For Test Suite/Accounts Change,,,2018-01-16 11:00:44,2018-01-16 11:00:51,7.134s,FAILED
delay,,,2018-01-16 11:00:44,2018-01-16 11:00:51,7.002s,PASSED
tap,,,2018-01-16 11:00:51,2018-01-16 11:00:51,0.005s,FAILED
,,,,,,
Test Cases/For Test Suite/Sign Out,,,2018-01-16 11:00:51,2018-01-16 11:00:58,6.135s,FAILED
delay,,,2018-01-16 11:00:51,2018-01-16 11:00:57,6.001s,PASSED
tap,,,2018-01-16 11:00:57,2018-01-16 11:00:58,0.006s,FAILED
