Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-15 09:46:56,2018-01-15 09:49:53,2m - 57.724s,PASSED
,,,,,,
Test Cases/SignIn,,,2018-01-15 09:46:56,2018-01-15 09:49:04,2m - 7.563s,PASSED
startApplication,,,2018-01-15 09:46:56,2018-01-15 09:48:35,1m - 38.066s,PASSED
tap,,,2018-01-15 09:48:35,2018-01-15 09:48:42,7.367s,PASSED
setText,,,2018-01-15 09:48:42,2018-01-15 09:48:50,8.373s,PASSED
setText,,,2018-01-15 09:48:50,2018-01-15 09:49:02,11.269s,PASSED
tap,,,2018-01-15 09:49:02,2018-01-15 09:49:02,0.878s,PASSED
tap,,,2018-01-15 09:49:02,2018-01-15 09:49:03,0.983s,PASSED
pinchToZoomInAtPosition,,,2018-01-15 09:49:03,2018-01-15 09:49:04,0.138s,PASSED
,,,,,,
Test Cases/TripRequest - Copy,,,2018-01-15 09:49:04,2018-01-15 09:49:42,38.510s,PASSED
setText,,,2018-01-15 09:49:04,2018-01-15 09:49:18,14.248s,PASSED
tap,,,2018-01-15 09:49:18,2018-01-15 09:49:19,1.204s,PASSED
tap,,,2018-01-15 09:49:19,2018-01-15 09:49:21,1.350s,PASSED
tap,,,2018-01-15 09:49:21,2018-01-15 09:49:22,1.792s,PASSED
tap,,,2018-01-15 09:49:22,2018-01-15 09:49:42,19.720s,PASSED
