Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-16 11:05:58,2018-01-16 11:18:55,12m - 57.181s,FAILED
,,,,,,
Test Cases/For Test Suite/SignIn,,,2018-01-16 11:05:58,2018-01-16 11:07:59,2m - 0.799s,PASSED
startApplication,,,2018-01-16 11:05:59,2018-01-16 11:07:31,1m - 32.359s,PASSED
tap,,,2018-01-16 11:07:31,2018-01-16 11:07:38,6.327s,PASSED
setText,,,2018-01-16 11:07:38,2018-01-16 11:07:46,8.390s,PASSED
setText,,,2018-01-16 11:07:46,2018-01-16 11:07:57,11.350s,PASSED
tap,,,2018-01-16 11:07:57,2018-01-16 11:07:58,0.887s,PASSED
tap,,,2018-01-16 11:07:58,2018-01-16 11:07:59,1.011s,PASSED
,,,,,,
Test Cases/For Test Suite/ProfileChange,,,2018-01-16 11:07:59,2018-01-16 11:08:28,28.426s,PASSED
delay,,,2018-01-16 11:07:59,2018-01-16 11:08:04,5.022s,PASSED
tap,,,2018-01-16 11:08:04,2018-01-16 11:08:05,0.799s,PASSED
tap,,,2018-01-16 11:08:05,2018-01-16 11:08:07,2.191s,PASSED
setText,,,2018-01-16 11:08:07,2018-01-16 11:08:19,11.211s,PASSED
checkElement,,,2018-01-16 11:08:19,2018-01-16 11:08:20,1.585s,PASSED
delay,,,2018-01-16 11:08:20,2018-01-16 11:08:27,7.002s,PASSED
tap,,,2018-01-16 11:08:27,2018-01-16 11:08:28,0.438s,PASSED
,,,,,,
Test Cases/For Test Suite/TripRequest,,,2018-01-16 11:08:28,2018-01-16 11:08:46,18.615s,PASSED
setText,,,2018-01-16 11:08:28,2018-01-16 11:08:40,12.283s,PASSED
tap,,,2018-01-16 11:08:40,2018-01-16 11:08:41,1.092s,PASSED
tap,,,2018-01-16 11:08:41,2018-01-16 11:08:43,2.076s,PASSED
tap,,,2018-01-16 11:08:43,2018-01-16 11:08:45,1.983s,PASSED
tap,,,2018-01-16 11:08:45,2018-01-16 11:08:46,1.028s,PASSED
,,,,,,
Test Cases/For Test Suite/Trip History View,,,2018-01-16 11:08:46,2018-01-16 11:09:30,43.469s,FAILED
delay,,,2018-01-16 11:08:47,2018-01-16 11:08:54,7.002s,PASSED
tap,,,2018-01-16 11:08:54,2018-01-16 11:08:54,0.643s,PASSED
delay,,,2018-01-16 11:08:54,2018-01-16 11:08:59,5.001s,PASSED
tap,,,2018-01-16 11:08:59,2018-01-16 11:09:30,30.660s,FAILED
,,,,,,
Test Cases/For Test Suite/Trip History,,,2018-01-16 11:09:30,2018-01-16 11:10:16,46.046s,FAILED
delay,,,2018-01-16 11:09:30,2018-01-16 11:09:37,7.002s,PASSED
tap,,,2018-01-16 11:09:37,2018-01-16 11:09:38,1.040s,PASSED
delay,,,2018-01-16 11:09:38,2018-01-16 11:09:43,5.001s,PASSED
tap,,,2018-01-16 11:09:43,2018-01-16 11:09:44,0.906s,PASSED
tap,,,2018-01-16 11:09:44,2018-01-16 11:09:45,1.082s,PASSED
checkElement,,,2018-01-16 11:09:45,2018-01-16 11:10:16,30.859s,FAILED
,,,,,,
Test Cases/For Test Suite/Submit Rating,,,2018-01-16 11:10:16,2018-01-16 11:11:01,44.891s,FAILED
setText,,,2018-01-16 11:10:16,2018-01-16 11:10:29,12.621s,PASSED
